OTUID	BeanRoot1ng0clamp	BeanRoot1ng25clamp	BeanRoot1ng50clamp	BeanRoot1ng75clamp	SGLeaf100ng0clamp	SGLeaf100ng25clamp	SGLeaf100ng50clamp	SGLeaf100ng75clamp	SGLeaf10ng0clamp	SGLeaf10ng25clamp	SGLeaf10ng50clamp	SGLeaf10ng75clamp	SGLeaf1ng0clamp	SGLeaf1ng25clamp	SGLeaf1ng50clamp	SGLeaf1ng75clamp
OTU78	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU61	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU52	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU48	0	10	22	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU183	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU92	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU55	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU34	0	5	11	10	0	0	0	0	0	0	0	0	0	0	0	0
OTU177	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU56	0	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU40	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0
OTU135	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU89	0	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU148	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU47	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU66	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU188	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU191	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU110	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	0	5	4	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU107	0	3	0	6	0	1	4	0	0	0	0	0	0	0	0	0
OTU186	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU144	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU180	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU121	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU173	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU146	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU65	0	1	14	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU163	0	5	3	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU222	0	14	0	14	0	0	0	0	0	0	0	0	0	0	0	0
OTU213	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU209	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU204	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU197	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU212	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU79	0	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU124	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU130	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU93	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU59	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU62	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU181	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU87	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU109	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU32	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU128	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU184	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU187	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU53	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU73	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU172	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU82	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU72	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU106	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU175	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
